2025-08-22 13:56:39,231 INFO    MainThread:16570 [wandb_init.py:setup_run_log_directory():624] Logging user logs to /Users/peytonsarmiento/helm-charts/wandb/run-20250822_135639-76xf0pyh-check_run/logs/debug.log
2025-08-22 13:56:39,232 INFO    MainThread:16570 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to /Users/peytonsarmiento/helm-charts/wandb/run-20250822_135639-76xf0pyh-check_run/logs/debug-internal.log
2025-08-22 13:56:39,232 INFO    MainThread:16570 [wandb_init.py:init():743] calling init triggers
2025-08-22 13:56:39,232 INFO    MainThread:16570 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {'epochs': 4, 'stringTest': 'A test config', 'dictTest': {'config_val': 2, 'config_string': 'config string'}, 'listTest': [0, 'one', '2']}
2025-08-22 13:56:39,232 INFO    MainThread:16570 [wandb_init.py:init():776] starting backend
2025-08-22 13:56:39,232 INFO    MainThread:16570 [wandb_init.py:init():780] sending inform_init request
2025-08-22 13:56:39,234 INFO    MainThread:16570 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-08-22 13:56:39,235 INFO    MainThread:16570 [wandb_init.py:init():795] backend started and connected
2025-08-22 13:56:39,237 INFO    MainThread:16570 [wandb_init.py:init():888] updated telemetry
2025-08-22 13:56:39,239 INFO    MainThread:16570 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-08-22 13:56:39,384 INFO    MainThread:16570 [wandb_init.py:init():967] starting run threads in backend
2025-08-22 13:56:39,450 INFO    MainThread:16570 [wandb_run.py:_console_start():2409] atexit reg
2025-08-22 13:56:39,450 INFO    MainThread:16570 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-08-22 13:56:39,450 INFO    MainThread:16570 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-08-22 13:56:39,450 INFO    MainThread:16570 [wandb_run.py:_redirect():2349] Redirects installed.
2025-08-22 13:56:39,451 INFO    MainThread:16570 [wandb_init.py:init():1009] run started, returning control to user process
2025-08-22 13:56:39,686 INFO    MainThread:16570 [wandb_run.py:_finish():2134] finishing run peyton-sarmiento/verify/76xf0pyh-check_run
2025-08-22 13:56:39,686 INFO    MainThread:16570 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-08-22 13:56:39,686 INFO    MainThread:16570 [wandb_run.py:_restore():2356] restore
2025-08-22 13:56:39,686 INFO    MainThread:16570 [wandb_run.py:_restore():2362] restore done
